model,accidents,avg_fatality_rate
152,2367,0.06619003281014454
172,1756,0.07322485638468496
172N,1164,0.12477776176060738
PA-28-140,932,0.12104997984683591
150,829,0.06294142980189489
172M,798,0.10818627450980392
172P,689,0.10719502719502713
182,659,0.11066939890710378
180,622,0.05152625152625154
150M,585,0.06941323345817729
PA-18,581,0.06367432150313153
PA-18-150,578,0.08231913455037188
PA-28-180,572,0.16447772657450077
PA-28-161,569,0.13622448979591828
PA-28-181,532,0.18037351656195336
206B,524,0.1472543935465283
737,489,0.025800350709584502
PA-38-112,469,0.07933025404157044
150L,461,0.10943775100401607
G-164A,460,0.025362318840579712
A36,450,0.2392081393961094
G-164B,420,0.03856749311294766
140,402,0.04504629629629629
206,390,0.16700968523002416
170B,389,0.05731083844580778
